Description,Date,Earned,Paid,Category,Destination,Source,Net,,Balance,Involved
Withdrawal ,12/13/2018,$40.00,$43.00,Misc,Cash,Checking,-$3.00,,$4190.23,CashChecking
Gas Money,12/14/2018,$10.00,$10.00,Travel,Savings,Checking,$0.00,,$4190.23,SavingsChecking
Train Ticket,12/15/2018,$112.00,$112.00,Travel,Savings,Discover,$0.00,,$4190.23,SavingsDiscover
Bday from Swanson G Parents,12/16/2018,$50.00,,Gift,Cash,,$50.00,,$4240.23,Cash
Discover Payment,12/17/2018,$89.44,$89.44,Misc,Discover,Savings,$0.00,,$4240.23,DiscoverSavings
Discover Payment,12/17/2018,$588.09,$582.45,Misc,Discover,Savings,$5.64,,$4245.87,DiscoverSavings
Transfer,12/17/2018,$100.00,$100.00,Misc,Checking,Savings,$0.00,,$4245.87,CheckingSavings
Yard Work,12/19/2018,$5.00,,Work,Cash,,$5.00,,$4250.87,Cash
Dirt Cheap Christmas,12/21/2018,,$5.83,Gift,,Discover,-$5.83,,$4245.04,Discover
Walmart Christmas,12/21/2018,,$17.02,Gift,,Discover,-$17.02,,$4228.02,Discover
Walmart General,12/21/2018,,$15.70,Groceries,,Discover,-$15.70,,$4212.32,Discover
Amazon Chrismas,12/21/2018,,$22.72,Gift,,Discover,-$22.72,,$4189.60,Discover
McKenna Christmas,12/21/2018,$50.00,,Gift,Checking,,$50.00,,$4239.60,Checking
Liz Repay,12/21/2018,$2454.22,$2454.22,Misc,Savings,Liz,$0.00,,$4239.60,SavingsLiz
Spiderman Ticket,12/26/2018,,$1.50,Entertainment,,Discover,-$1.50,,$4238.10,Discover
Cambel Christmas Gift,12/26/2018,$50.00,,Gift,Savings,,$50.00,,$4288.10,Savings
J-Term & Spring Bill,12/28/2018,,$10.00,Direct College,,TU Account,-$10.00,,$4278.10,TU Account
Battery Case,12/28/2018,,$19.99,Tech,,Discover,-$19.99,,$4258.11,Discover
Tim Half of EOT Book,12/29/2018,$12.29,,Textbook,Savings,,$12.29,,$4270.40,Savings
Vindicating the Vixens,12/29/2018,,$17.19,Textbook,,Discover,-$17.19,,$4253.21,Discover
J-Term & Spring Bill,1/1/2019,,$1147.50,Direct College,,Savings,-$1147.50,,$3105.71,Savings
Gatorade,1/1/2019,,$1.35,Food,,Discover,-$1.35,,$3104.36,Discover
Jake Driving,1/1/2019,$10.00,$10.00,Travel,Savings,Checking,$0.00,,$3104.36,SavingsChecking
Mr. Cox Gift,1/1/2019,$10.00,,Gift,Cash,,$10.00,,$3114.36,Cash
Food,1/2/2019,,$6.09,Food,,Discover,-$6.09,,$3108.27,Discover
Apple Subscription,1/3/2019,,$5.40,Entertainment,,Gift Card,-$5.40,,$3102.87,Gift Card
Pilence Parts,1/7/2019,,$11.07,Ed Tech,,Discover,-$11.07,,$3091.80,Discover
ATM Fee Reimbursement,1/10/2019,$3.01,,Misc,Checking,,$3.01,,$3094.81,Checking
Interest,1/10/2019,$4.88,,Interest ,Savings,,$4.88,,$3099.69,Savings
Payment,1/15/2019,$112.00,$112.00,Misc,Discover,Savings,$0.00,,$3099.69,DiscoverSavings
China Trip Spending Money,1/23/2019,,$50.00,Groceries,,Cash,-$50.00,,$3049.69,Cash
Hair Gel,1/23/2019,$10.78,$21.05,Cosmetics,Checking,Discover,-$10.27,,$3039.42,CheckingDiscover
Gerig Lasertag,1/26/2019,$0.01,$18.00,Entertainment,Checking,Checking,-$17.99,,$3021.43,CheckingChecking
Alexanders Ice cream,1/26/2019,,$5.88,Food,,Discover,-$5.88,,$3015.55,Discover
Calc II Workbook,1/28/2019,,$6.41,Textbook,,Discover,-$6.41,,$3009.14,Discover
ZYBook,1/28/2019,,$61.83,Textbook,,Discover,-$61.83,,$2947.31,Discover
The Linux Command Line,1/28/2019,,$25.97,Textbook,,Discover,-$25.97,,$2921.34,Discover
Don’t make me think,1/28/2019,,$22.72,Textbook,,Discover,-$22.72,,$2898.62,Discover
Student ID,2/1/2019,,$15.00,Fees,,TU Account,-$15.00,,$2883.62,TU Account
Tim pay for CS Distilled & Tanack,2/2/2019,$15.51,,Textbook,Checking,,$15.51,,$2899.13,Checking
Calc II Textbook,2/4/2019,,$12.83,Textbook,,Discover,-$12.83,,$2886.30,Discover
Apple Misic,2/4/2019,,$5.40,Entertainment,,Gift Card,-$5.40,,$2880.90,Gift Card
The Prestige,2/10/2019,,$3.18,Entertainment,,Checking,-$3.18,,$2877.72,Checking
Interest,2/11/2019,$4.75,,Interest ,Savings,,$4.75,,$2882.47,Savings
China Program,2/11/2019,,$15.00,Tithe (Legal),,Cash,-$15.00,,$2867.47,Cash
Discover Payment,2/15/2019,$118.46,$118.46,Misc,Discover,Savings,$0.00,,$2867.47,DiscoverSavings
Taylor Paycheck,2/22/2019,$83.74,,Work,Savings,,$83.74,,$2951.21,Savings
Gas Money,2/23/2019,,$2.00,Transportation,,Cash,-$2.00,,$2949.21,Cash
Nostalgia Night,2/23/2019,,$5.00,Entertainment,,Cash,-$5.00,,$2944.21,Cash
Amazon Cosmetics,2/23/2019,,$32.89,Cosmetics,,Discover,-$32.89,,$2911.32,Discover
Tax Refund,2/26/2019,$99.27,,Work,Savings,,$99.27,,$3010.59,Savings
Apple Subscription,3/5/2019,,$5.40,Entertainment,,Gift Card,-$5.40,,$3005.19,Gift Card
Eniagram,3/8/2019,,$10.00,Entertainment,,Discover,-$10.00,,$2995.19,Discover
Taylor Paycheck,3/8/2019,$112.04,,Work,Savings,,$112.04,,$3107.23,Savings
IKEA PAD food,3/9/2019,,$6.20,Food,,Discover,-$6.20,,$3101.03,Discover
IKEA PAD gas,3/9/2019,,$5.00,Transportation,,Cash,-$5.00,,$3096.03,Cash
Interest,3/10/2019,$4.39,,Interest ,Savings,,$4.39,,$3100.42,Savings
Spring Break Housing,3/14/2019,,$50.00,Direct College,,TU Account,-$50.00,,$3050.42,TU Account
Spring Break Groceries,3/16/2019,$21.61,$49.76,Groceries,Checking,Discover,-$28.15,,$3022.27,CheckingDiscover
Taylor Payment,3/18/2019,$65.00,$65.00,Misc,TU Account,Checking,$0.00,,$3022.27,TU AccountChecking
Discover Payment,3/18/2019,$156.69,$156.69,Misc,Discover,Savings,$0.00,,$3022.27,DiscoverSavings
Pi Parts,3/20/2019,,$28.92,Ed Tech,,Discover,-$28.92,,$2993.35,Discover
Alfred,3/20/2019,,$31.56,Tech,,Discover,-$31.56,,$2961.79,Discover
AEC 350 Materials,3/22/2019,,$16.03,Textbook,,Discover,-$16.03,,$2945.76,Discover
Star Trek Rental,3/22/2019,,$3.18,Entertainment,,Discover,-$3.18,,$2942.58,Discover
Taylor Paycheck,3/22/2019,$129.16,,Work,Savings,,$129.16,,$3071.74,Savings
Ultimate Frisbee Fee,3/27/2019,,$5.79,Fees,,Discover,-$5.79,,$3065.95,Discover
Airband,3/30/2019,,$5.00,Entertainment,,Cash,-$5.00,,$3060.95,Cash
"Headphones, Lamp",3/31/2019,,$29.72,Tech,,Discover,-$29.72,,$3031.23,Discover
Apple Subscription,4/3/2019,,$5.40,Entertainment,,Gift Card,-$5.40,,$3025.83,Gift Card
Taylor Paycheck,4/5/2019,$72.13,,Work,Savings,,$72.13,,$3097.96,Savings
Interest,4/10/2019,$5.50,,Interest ,Savings,,$5.50,,$3103.46,Savings
Rice Pilaf,4/12/2019,,$1.00,Entertainment,,Cash,-$1.00,,$3102.46,Cash
Dumpling House,4/13/2019,,$5.00,Food,,Cash,-$5.00,,$3097.46,Cash
Mosaic Night,4/13/2019,,$5.00,Food,,Cash,-$5.00,,$3092.46,Cash
[Unknown],4/13/2019,,$10.00,Misc,,Cash,-$10.00,,$3082.46,Cash
Withdrawal,4/15/2019,$40.00,$39.99,Misc,Cash,Checking,$0.01,,$3082.47,CashChecking
Discover Payment,4/16/2019,$98.85,$98.85,Misc,Discover,Savings,$0.00,,$3082.47,DiscoverSavings
Taylor Paycheck,4/19/2019,$72.98,,Work,Savings,,$72.98,,$3155.45,Savings
Inner Tube,4/23/2019,,$9.95,Transportation,,Discover,-$9.95,,$3145.50,Discover
End Game Ticket,4/24/2019,,$8.19,Entertainment,,Discover,-$8.19,,$3137.31,Discover
Haircut,4/29/2019,,$11.00,Cosmetics,,Discover,-$11.00,,$3126.31,Discover
Honors Trip to Indi Art Meusam,5/3/2019,,$5.00,Entertainment,,Cash,-$5.00,,$3121.31,Cash
Taylor Paycheck,5/3/2019,$109.02,,Work,Savings,,$109.02,,$3230.33,Savings
Apple Subscription,5/6/2019,,$5.40,Entertainment,,Gift Card,-$5.40,,$3224.93,Gift Card
Advanced Payment,5/7/2019,$100.00,$100.00,Misc,TU Account,Savings,$0.00,,$3224.93,TU AccountSavings
iHop Trip,5/8/2019,,$7.40,Food,,Discover,-$7.40,,$3217.53,Discover
Advance Taylor Payment,5/8/2019,,$100.00,Direct College,,TU Account,-$100.00,,$3117.53,TU Account
Summer Housing,5/9/2019,,$460.00,Housing,,TU Account,-$460.00,,$2657.53,TU Account
Interest,5/10/2019,$5.46,,Interest ,Savings,,$5.46,,$2662.99,Savings
Local Groceries,5/10/2019,,$7.77,Groceries,,Discover,-$7.77,,$2655.22,Discover
Grace Gas Cash,5/12/2019,,$10.00,Transportation,,Cash,-$10.00,,$2645.22,Cash
Indian Lunch,5/12/2019,,$14.89,Food,,Discover,-$14.89,,$2630.33,Discover
Discover Payment,5/16/2019,$510.19,$510.19,Misc,Discover,Savings,$0.00,,$2630.33,DiscoverSavings
Taylor Paycheck,5/17/2019,$82.71,,Work,Savings,,$82.71,,$2713.04,Savings
Goodwill Clothes,5/18/2019,,$4.80,Clothes,,Discover,-$4.80,,$2708.24,Discover
Walmart Clothes,5/18/2019,,$45.72,Clothes,,Discover,-$45.72,,$2662.52,Discover
Walmart Groceries,5/18/2019,,$37.28,Groceries,,Discover,-$37.28,,$2625.24,Discover
Wendy’s Dinner,5/18/2019,,$4.28,Food,,Discover,-$4.28,,$2620.96,Discover
Walmart Groceries for Wengatz Week,5/20/2019,,$13.37,Groceries,,Checking,-$13.37,,$2607.59,Checking
Greeks Lunch,5/26/2019,,$6.12,Food,,Discover,-$6.12,,$2601.47,Discover
Taco Bell Lunch,5/26/2019,,$6.41,Food,,Discover,-$6.41,,$2595.06,Discover
Transfer,5/26/2019,$150.00,$150.00,Misc,Checking,Savings,$0.00,,$2595.06,CheckingSavings
Walmart Groceries for 1st week & summer,5/28/2019,,$57.98,Groceries,,Checking,-$57.98,,$2537.08,Checking
Taylor Paycheck,5/31/2019,$400.48,,Work,Savings,,$400.48,,$2937.56,Savings
United Flight IND -> EUG,6/1/2019,$179.00,$179.00,Travel,Checking,Discover,$0.00,,$2937.56,CheckingDiscover
American EUG -> WIT,6/1/2019,$215.00,$215.99,Travel,Checking,Discover,-$0.99,,$2936.57,CheckingDiscover
Walmart Groceries ,6/1/2019,,$42.67,Groceries,,Checking,-$42.67,,$2893.90,Checking
Steven Dinner,6/6/2019,,$5.00,Food,,Checking,-$5.00,,$2888.90,Checking
Dollar General,6/7/2019,,$5.35,Groceries,,Discover,-$5.35,,$2883.55,Discover
Apple Subscription,6/7/2019,,$5.40,Entertainment,,Gift Card,-$5.40,,$2878.15,Gift Card
Aldi’s,6/8/2019,$18.66,$38.09,Groceries,Checking,Discover,-$19.43,,$2858.72,CheckingDiscover
Touchnet Transfer,6/10/2019,$460.00,$460.00,Misc,TU Account,Savings,$0.00,,$2858.72,TU AccountSavings
Interest,6/10/2019,$5.08,,Interest ,Savings,,$5.08,,$2863.80,Savings
Lego Movie 2,6/12/2019,$4.00,$6.36,Entertainment,Checking,Discover,-$2.36,,$2861.44,CheckingDiscover
Misc,6/12/2019,$2.00,$2.00,Misc,Cash,Checking,$0.00,,$2861.44,CashChecking
Taylor Paycheck,6/14/2019,$804.30,,Work,Savings,,$804.30,,$3665.74,Savings
Tyme,6/16/2019,,$37.87,Ed Tech,,Gift Card,-$37.87,,$3627.87,Gift Card
Discover Payment,6/17/2019,$151.28,$151.28,Misc,Discover,Savings,$0.00,,$3627.87,DiscoverSavings
Brave,6/23/2019,$1.00,$4.32,Entertainment,Cash,Gift Card,-$3.32,,$3624.55,CashGift Card
Aldi’s,6/24/2019,,$24.12,Groceries,,Checking,-$24.12,,$3600.43,Checking
Mos Dinner,6/27/2019,$9.00,$9.02,Food,Checking,Checking,-$0.02,,$3600.41,CheckingChecking
Taylor Paycheck,6/28/2019,$804.30,,Work,Savings,,$804.30,,$4404.71,Savings
Apple Subscription,7/3/2019,,$5.40,Entertainment,,Gift Card,-$5.40,,$4399.31,Gift Card
Dairy Queen Lunch,7/7/2019,$5.00,$5.47,Food,Checking,Discover,-$0.47,,$4398.84,CheckingDiscover
Taco Bell Dinner,7/7/2019,$5.00,$6.49,Food,Checking,Discover,-$1.49,,$4397.35,CheckingDiscover
Drive Wichita —> Taylor,7/7/2019,$25.00,$25.00,Travel,Checking,Checking,$0.00,,$4397.35,CheckingChecking
Spider-man Far from Home Ticket,7/9/2019,,$6.49,Entertainment,,Discover,-$6.49,,$4390.86,Discover
Interest,7/10/2019,$5.89,,Interest ,Savings,,$5.89,,$4396.75,Savings
Taylor Paycheck,7/12/2019,$193.75,,Work,Savings,,$193.75,,$4590.50,Savings
Groceries from Walmart,7/13/2019,$127.77,$230.63,Groceries,Savings,Discover,-$102.86,,$4487.64,SavingsDiscover
Transfer,7/13/2019,$347.76,$347.75,Misc,Savings,Checking,$0.01,,$4487.65,SavingsChecking
Goodwill,7/13/2019,,$9.61,Clothes,,Discover,-$9.61,,$4478.04,Discover
Multimeter Flea Market,7/13/2019,,$6.42,Tech,,Discover,-$6.42,,$4471.62,Discover
Screen Protector & Charging Cables,7/14/2019,,$17.09,Tech,,Discover,-$17.09,,$4454.53,Discover
Backpack,7/14/2019,,$21.25,Education,,Discover,-$21.25,,$4433.28,Discover
Discover Payment,7/16/2019,$62.33,$62.33,Misc,Discover,Savings,$0.00,,$4433.28,DiscoverSavings
Taylor Paycheck,7/26/2019,$804.30,,Work,Savings,,$804.30,,$5237.58,Savings
Walmart Groceries,7/26/2019,$6.39,$17.82,Groceries,Checking,Discover,-$11.43,,$5226.15,CheckingDiscover
Steak-n-shake Dinner,7/27/2019,,$9.61,Food,,Discover,-$9.61,,$5216.54,Discover
Dollarsmart,8/2/2019,$8.39,$17.09,Groceries,Checking,Discover,-$8.70,,$5207.84,CheckingDiscover
Apple Subscriptions,8/3/2019,,$6.39,Entertainment,,Gift Card,-$6.39,,$5201.45,Gift Card
Dollarsmart,8/7/2019,$17.83,$24.02,Groceries,Checking,Discover,-$6.19,,$5195.26,CheckingDiscover
Taylor Paycheck,8/9/2019,$560.08,,Work,Savings,,$560.08,,$5755.34,Savings
Interest,8/10/2019,$6.59,,Interest ,Savings,,$6.59,,$5761.93,Savings
Lunch @ DC,8/13/2019,,$13.80,Food,,Discover,-$13.80,,$5748.13,Discover
Discover Payment,8/15/2019,$265.11,$265.11,Misc,Discover,Savings,$0.00,,$5748.13,DiscoverSavings
Card Holder,8/16/2019,,$14.97,Clothes,,Apple Card,-$14.97,,$5733.16,Apple Card
USB Microphone,8/17/2019,,$5.68,Tech,,Apple Card,-$5.68,,$5727.48,Apple Card
256GB Micro SD Card,8/17/2019,,$26.42,Tech,,Discover,-$26.42,,$5701.06,Discover
Dollarsmart,8/17/2019,$21.44,$47.72,Groceries,Checking,Apple Card,-$26.28,,$5674.78,CheckingApple Card
Transfer,8/17/2019,$135.22,$135.22,Misc,Savings,Checking,$0.00,,$5674.78,SavingsChecking
Taylor Paycheck,8/18/2019,$621.80,,Work,Savings,,$621.80,,$6296.58,Savings
Physics Textbook,8/19/2019,,$36.36,Textbook,,Apple Card,-$36.36,,$6260.22,Apple Card
Calculus III Textbook,8/19/2019,,$12.84,Textbook,,Apple Card,-$12.84,,$6247.38,Apple Card
DSA Textbook,8/19/2019,$31.17,$62.34,Textbook,Checking,Discover,-$31.17,,$6216.21,CheckingDiscover
"Calc III, Physics Workbooks",8/19/2019,,$26.73,Textbook,,Apple Card,-$26.73,,$6189.48,Apple Card
Taylor Fall19 Bill,8/20/2019,,$1799.00,Direct College,,Savings,-$1799.00,,$4390.48,Savings
Wendy’s,8/23/2019,,$2.13,Food,,Apple Card,-$2.13,,$4388.35,Apple Card
Pearson Physics Access Code,8/26/2019,,$75.76,Textbook,,Discover,-$75.76,,$4312.59,Discover
iHop Trip,8/29/2019,,$32.03,Food,,Apple Card,-$32.03,,$4280.56,Apple Card
Floor Dinner,8/30/2019,,$5.00,Food,,Checking,-$5.00,,$4275.56,Checking
iTunes from discover rewards,8/30/2019,$50.00,,Rewards,Gift Card,,$50.00,,$4325.56,Gift Card
Floor Dues,8/31/2019,,$40.00,Fees,,Cash,-$40.00,,$4285.56,Cash
Bike,8/31/2019,,$25.00,Transportation,,Checking,-$25.00,,$4260.56,Checking
Bike,8/31/2019,$5.00,$5.00,Misc,Checking,Cash,$0.00,,$4260.59,CashChecking
Withdrawal,8/31/2019,$40.00,$40.00,Misc,Cash,Checking,$0.00,,$4260.56,CashChecking
Transfer,8/31/2019,$70.03,$70.00,Misc,Checking,Savings,$0.03,,$4260.59,CheckingSavings
Chalk Walk PAD,8/31/2019,,$11.24,Food,,Apple Card,-$11.24,,$4249.35,Apple Card
Donut Run,9/1/2019,,$0.99,Food,,Apple Card,-$0.99,,$4248.36,Apple Card
Apple Subscription,9/3/2019,,$6.39,Entertainment,,Gift Card,-$6.39,,$4254.20,Gift Card
Ultimate Frisbee Fee,9/3/2019,,$50.00,Fees,,Checking,-$50.00,,$4204.20,Checking
Play-dough Ingredients,9/4/2019,,$7.14,Education,,Apple Card,-$7.14,,$4197.06,Apple Card
Taylor Paycheck,9/6/2019,$158.01,,Work,Savings,,$158.01,,$4355.07,Savings
Interest,9/10/2019,$6.91,,Interest ,Savings,,$6.91,,$4361.98,Savings
Gerig Dinner,9/16/2019,,$1.99,Food,,Checking,-$1.99,,$4359.99,Checking
Discover Payment,9/16/2019,$183.02,$183.02,Misc,Discover,Savings,$0.00,,$4359.99,DiscoverSavings
Taylor Paycheck,9/20/2019,$47.98,,Work,Savings,,$47.98,,$4407.97,Savings
Transfer,9/23/2019,$150.00,$150.00,Misc,Checking,Savings,$0.00,,$4407.97,CheckingSavings
Pay for MuKappa Retreat,10/1/2019,,$15.00,Fees,,Cash,-$15.00,,$4392.97,Cash
Pay for Honors Retreat,10/1/2019,,$5.00,Fees,,Cash,-$5.00,,$4387.97,Cash
Apple Card Payment,10/1/2019,$178.46,$178.46,Misc,Apple Card,Savings,$0.00,,$4387.97,Apple CardSavings
Apple Subscription,10/3/2019,,$6.39,Entertainment,,Gift Card,-$6.39,,$4381.58,Gift Card
Taylor Paycheck,10/4/2019,$60.98,,Work,Savings,,$60.98,,$4442.56,Savings
Withdrawal,10/5/2019,$60.00,$60.00,Misc,Cash,Checking,$0.00,,$4442.56,CashChecking
Interest,10/10/2019,$6.78,,Interest ,Savings,,$6.78,,$4449.34,Savings
Unaccounted $15,10/11/2019,,$15.00,Misc,,Cash,-$15.00,,$4434.34,Cash
SongShift,10/11/2019,,$5.40,Tech,,Gift Card,-$5.40,,$4428.94,Gift Card
Soccer Fee,10/12/2019,,$5.79,Fees,,Apple Card,-$5.79,,$4423.15,Apple Card
Dollar Smart Apples,10/13/2019,,$7.76,Groceries,,Apple Card,-$7.76,,$4415.39,Apple Card
Discover Payment,10/15/2019,$102.18,$102.18,Misc,Discover,Savings,$0.00,,$4415.39,DiscoverSavings
Amtrak Train Ticket,10/17/2019,,$90.00,Travel,,Discover,-$90.00,,$4325.39,Discover
Taylor Paycheck,10/18/2019,$59.94,,Work,Savings,,$59.94,,$4385.33,Savings
Walmart Poncho Jacket (lost),10/21/2019,,$22.96,Clothes,,Discover,-$22.96,,$4362.37,Discover
Walmart Honors Food and Blanket,10/21/2019,,$41.49,Groceries,,Discover,-$41.49,,$4320.88,Discover
Sci-Fi Concert,10/26/2019,,$5.00,Entertainment,,Cash,-$5.00,,$4315.88,Cash
Apple Card Payment,10/31/2019,$19.37,$19.37,Misc,Apple Card,Savings,$0.00,,$4315.88,Apple CardSavings
Rice Pilaf,11/1/2019,,$2.00,Entertainment,,Cash,-$2.00,,$4313.88,Cash
Taylor Paycheck,11/1/2019,$116.31,,Work,Savings,,$116.31,,$4430.19,Savings
MyGen,11/2/2019,,$5.00,Entertainment,,Cash,-$5.00,,$4425.19,Cash
Subway,11/2/2019,,$8.34,Food,,Apple Card,-$8.34,,$4416.85,Apple Card
Goodwill,11/2/2019,,$18.24,Clothes,,Apple Card,-$18.24,,$4398.61,Apple Card
Walmart Jacket,11/2/2019,,$21.36,Clothes,,Discover,-$21.36,,$4377.25,Discover
Apple Subscription,11/3/2019,,$6.39,Entertainment,,Gift Card,-$6.39,,$4370.86,Gift Card
Ultimate Tournament Pizza Hut,11/9/2019,$21.00,$28.32,Food,Checking,Discover,-$7.32,,$4363.54,CheckingDiscover
Pizza Hut,11/9/2019,$7.00,$7.00,Misc,Cash,Checking,$0.00,,$4363.54,CheckingDiscover
Subway,11/9/2019,,$4.00,Food,,Checking,-$4.00,,$4359.54,Checking
Interest,11/10/2019,$6.42,,Interest ,Savings,,$6.42,,$4365.96,Savings
Ultimate Tournament Gas,11/10/2019,,$6.99,Travel,,Checking,-$6.99,,$4358.97,Checking
Lego Movie 2,11/10/2019,,$16.23,Entertainment,,Gift Card,-$16.23,,$4342.74,Gift Card
Taylor Paycheck,11/15/2019,$78.64,,Work,Savings,,$78.64,,$4421.38,Savings
Discover Payment,11/18/2019,$90.00,$90.00,Misc,Discover,Savings,$0.00,,$4421.38,DiscoverSavings
Kendra feeling in debt,11/20/2019,$5.00,,Gift,Cash,,$5.00,,$4426.38,Checking
Precept Paycheck,11/22/2019,$325.00,,Work,Savings,,$325.00,,$4751.38,Savings
Frozen 2,11/22/2019,,$12.98,Entertainment,,Apple Card,-$12.98,,$4738.40,Apple Card
Ed/Becky Appreciation,11/23/2019,,$5.00,Gift,,Cash,-$5.00,,$4733.40,Checking
Gerig Thanksgiving,11/24/2019,,$5.00,Food,,Cash,-$5.00,,$4728.40,Checking
Urban Light,11/24/2019,,$2.00,Tithe (Legal),,Cash,-$2.00,,$4726.40,Checking
Amtrak Train Ticket,11/25/2019,,$145.00,Travel,,Apple Card,-$145.00,,$4581.40,Apple Card
Thanksgiving Gas,11/26/2019,,$12.00,Travel,,Checking,-$12.00,,$4569.40,Checking
Taylor Paycheck,11/29/2019,$88.13,,Work,Savings,,$88.13,,$4657.53,Savings
Amazon Electronics,12/1/2019,,$28.13,Tech,,Discover,-$28.13,,$4629.40,Discover
Apple Card Payment,12/2/2019,$13.55,$13.55,Misc,Apple Card,Savings,$0.00,,$4629.40,Apple CardSavings
Apple Subscription,12/3/2019,,$6.39,Entertainment,,Gift Card,-$6.39,,$4623.01,Gift Card
Dollarsmart,12/5/2019,,$3.99,Groceries,,Apple Card,-$3.99,,$4619.02,Apple Card
Indian Restaurant,12/8/2019,,$14.89,Food,,Apple Card,-$14.89,,$4604.13,Apple Card
Interest,12/10/2019,$6.32,,Interest ,Savings,,$6.32,,$4610.45,Savings
Birthday Money from Gma Campbell,12/11/2019,$20.01,,Gift,Checking,,$20.01,,$4630.46,Checking
Toy Story 4,12/11/2019,,$5.30,Entertainment,,Discover,-$5.30,,$4625.16,Discover
Dollarsmart ,12/11/2019,,$2.35,Groceries,,Discover,-$2.35,,$4622.81,Discover
Dollar General Christmas Gifts,12/11/2019,,$19.26,Gift,,Discover,-$19.26,,$4603.55,Discover
Taylor Paycheck,12/13/2019,$52.43,,Work,Savings,,$52.43,,$4655.98,Savings
Disney+,12/13/2019,,$7.57,Entertainment,,Apple Card,-$7.57,,$4648.41,Apple Card
Bloomington Gas Money,12/14/2019,,$20.00,Travel,,Cash,-$20.00,,$4628.41,Cash
Discover Payment,12/16/2019,$114.13,$114.13,Misc,Discover,Savings,$0.00,,$4628.41,DiscoverSavings
Walmart Frame,12/16/2019,,$16.06,Gift,,Discover,-$16.06,,$4612.35,Discover
Walmart Picture,12/16/2019,,$5.13,Gift,,Discover,-$5.13,,$4607.22,Discover
Canes Fried Chicken,12/16/2019,,$6.64,Food,,Discover,-$6.64,,$4600.58,Discover
Hobby Lobby,12/16/2019,,$14.51,Groceries,,Discover,-$14.51,,$4586.07,Discover
Orange 2 Shirt,12/20/2019,,$10.00,Clothes,,Checking,-$10.00,,$4576.07,Checking
Bed Moving,12/20/2019,$10.00,,Work,Cash,,$10.00,,$4586.07,Cash
Walmart Pictures,12/21/2019,,$12.45,Groceries,,Discover,-$12.45,,$4573.62,Discover
Walmart Christmas Gifts,12/21/2019,,$45.54,Groceries,,Discover,-$45.54,,$4528.08,Discover
Star Wars Ticket,12/29/2019,,$1.50,Entertainment,,Apple Card,-$1.50,,$4526.58,Apple Card
Taylor Spring20 Bill,1/1/2020,,$1102.02,Direct College,,Savings,-$1102.02,,$3424.56,Savings
Apple Card Payment,1/2/2020,$184.56,$184.56,Misc,Apple Card,Savings,$0.00,,$3424.56,Apple CardSavings
Whataburger,1/3/2020,,$13.99,Food,,Checking,-$13.99,,$3410.57,Checking
Apple Subscription,1/3/2020,,$6.39,Entertainment,,Gift Card,-$6.39,,$3404.18,Gift Card
Historic Textbooks,1/5/2020,,$20.55,Textbook,,Discover,-$20.55,,$3383.63,Discover
Chronicles of Narnia,1/6/2020,,$32.46,Textbook,,Discover,-$32.46,,$3351.17,Discover
Historic Coursepack,1/7/2020,,$33.88,Textbook,,TU Account,-$33.88,,$3317.29,TU Account
Interest,1/10/2020,$5.18,,Interest ,Savings,,$5.18,,$3322.47,Savings
Preceptorial Ivanhoes,1/12/2020,,$5.94,Food,,Discover,-$5.94,,$3316.53,Discover
Volleyball IMLeagues,1/12/2020,,$5.79,Fees,,Apple Card,-$5.79,,$3310.74,Apple Card
Discover Payment,1/15/2020,$97.38,$97.38,Misc,Discover,Savings,$0.00,,$3310.74,DiscoverSavings
Christmas Money from Campbels,1/23/2020,$50.00,,Gift,Savings,,$50.00,,$3360.74,Savings
Christmas Money from Mcennas,1/23/2020,$50.00,,Gift,Savings,,$50.00,,$3410.74,Savings
Taylor Paycheck,1/24/2020,$36.00,,Work,Savings,,$36.00,,$3446.74,Savings
Archery PAD,1/25/2020,,$20.00,Entertainment,,Discover,-$20.00,,$3426.74,Discover
Market,1/25/2020,,$2.25,Groceries,,Apple Card,-$2.25,,$3424.49,Apple Card
USB Battery,1/31/2020,,$16.68,Tech,,Discover,-$16.68,,$3407.81,Discover
AI Textbook,1/31/2020,,$12.39,Textbook,,Discover,-$12.39,,$3395.42,Discover
Coffee Mug,1/31/2020,,$11.99,Gift,,Discover,-$11.99,,$3383.43,Discover
TransfeSavings —> Checking,1/31/2020,$30.00,$30.00,Misc,Checking,Savings,$0.00,,$3383.43,CheckingSavings
Alexander’s Icecream,2/1/2020,,$6.31,Food,,Discover,-$6.31,,$3377.12,Discover
Lasertag,2/1/2020,,$16.00,Entertainment,,Apple Card,-$16.00,,$3361.12,Apple Card
Datacom Textbook,2/2/2020,,$37.43,Textbook,,Discover,-$37.43,,$3323.69,Discover
Apple Card Payment,2/2/2020,$27.95,$27.95,Misc,Apple Card,Savings,$0.00,,$3323.69,Apple CardSavings
Apple Subscription,2/3/2020,,$4.64,Entertainment,,Gift Card,-$4.64,,$3319.05,Gift Card
Ethics of Big Data,2/3/2020,,$10.81,Textbook,,Discover,-$10.81,,$3308.24,Discover
Data Science & Big Data,2/3/2020,,$42.42,Textbook,,Discover,-$42.42,,$3265.82,Discover
Apple Subscription,2/3/2020,,$1.75,Entertainment,,Discover,-$1.75,,$3264.07,Discover
Vocation of the Christian Scholar,2/4/2020,,$17.31,Textbook,,Discover,-$17.31,,$3246.76,Discover
